2026_27_TEAM,PTS,REB,AST,STL,BLK,TOTAL_SALARY,ROSTER_COUNT,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,SEASON
ATL,10176.897718205217,3822.287237587383,2573.0726992468044,784.8419682854924,386.77472044388867,186339106.0,17,377.2492653117852,0.4689679669529901,0.3494303204562383,0.753682168165126,2026-27
BKN,8481.097224852256,3252.0729484073513,1873.8616006317839,561.9306813044199,289.7077016243677,123605555.0,16,-1657.0891686131276,0.4463148999129859,0.32905365508843876,0.7981234579462084,2026-27
BOS,8476.11904340336,3639.923886426741,2024.124997114874,619.7192070392266,405.0814213025589,196917559.0,14,1979.5005884722243,0.4708258778119042,0.325404974469561,0.7912049867272614,2026-27
CHA,8981.825068033922,3801.9742108620258,1816.1180695319138,582.7540694611631,417.1195298245884,149462261.0,15,814.8255207540009,0.46980901743298986,0.34078793910263105,0.786844580643138,2026-27
CHI,8570.703332021856,3738.809700946031,1987.015429414273,546.7676641584662,468.50959662063264,132901997.0,14,-725.3469164688256,0.48433987504996123,0.3251888759847786,0.7386114635710563,2026-27
CLE,9570.618225920687,3398.338488565952,2479.349934615486,692.5166486898245,412.1376782569227,217645250.0,13,1033.7479754812362,0.47790273215039597,0.3240158231104896,0.79268287648871,2026-27
DAL,9949.707846692798,3657.0299756893282,1952.8087753709115,683.3771764762223,442.75741232481215,172293551.0,14,-525.308141569776,0.47843768976527,0.32486522467145734,0.7756105540039886,2026-27
DEN,10139.216254890187,3987.1096990691844,2674.8858172451523,638.7562999799627,403.8346911438747,230417467.0,17,1242.334658488241,0.48929037260107194,0.3616007264280536,0.7906156402363055,2026-27
DET,9526.014973760903,3708.062201023942,2129.5999087769146,811.6960483422039,422.5427775910597,137868523.0,14,804.4213525532288,0.4823987855307811,0.31835922867703187,0.7859850948555007,2026-27
GSW,8191.778564655526,3101.0473111027986,2115.534633669519,703.3692785599432,353.2676428245609,147492647.0,14,306.0065617544076,0.4640380739306932,0.3469373893322936,0.7976089612281616,2026-27
HOU,10081.447979370216,4243.27544157066,2382.215321293924,771.2134822167521,513.8502006408617,176729039.0,15,890.35501563711,0.4673408113593871,0.32001411359593834,0.7664446172323619,2026-27
IND,10292.354882914407,3782.5272059346935,2822.895949954215,748.9257214357373,399.7210928116376,212408950.0,18,-530.7688493526134,0.4797822942362004,0.3247588825088978,0.7659356092566654,2026-27
LAC,8881.89815435681,3043.7969513369258,1795.0552939212234,658.8766615888774,434.6357392169584,151354151.0,14,428.66583261065915,0.4774198118914995,0.34895930674167386,0.7884241475910936,2026-27
LAL,9912.223877439737,3690.7669918307292,2195.7751432460727,753.7509891372422,408.4515923653328,174992971.0,18,-566.0443733561718,0.47589596418390767,0.33937510377548097,0.7562629969898927,2026-27
MEM,8267.629428674365,3305.993156222056,1898.1827426467348,556.5067601500655,420.418512792236,99577733.0,16,-906.2754275712643,0.45243285039205583,0.34056351697527415,0.7803566186871914,2026-27
MIA,8766.569540905064,3398.953082387274,1925.7690060389045,594.0988344967008,276.7263288967772,191028772.0,12,227.01661283904886,0.4704252805868449,0.35645247597308005,0.7571327757316787,2026-27
MIL,12318.186955771433,4268.8813574295045,2948.8872013117043,794.9104348496049,471.58549774592933,173103204.0,19,-336.66829753888544,0.4669844525091506,0.34862574796479334,0.771939313111394,2026-27
MIN,9506.567202244194,3533.284720046889,2049.0397843986234,742.4046850692472,441.4886539157175,219966710.0,16,841.8821523430677,0.4854930082147656,0.3230011747221063,0.7654534251246308,2026-27
NOP,9668.870749864422,3522.464907137592,2128.3776933237764,720.6382297083148,427.0921317688441,188214389.0,13,-1214.6949515676206,0.4602885331783564,0.30054889536906143,0.7897433750539419,2026-27
NYK,10703.598042282729,4074.950164377824,2503.480188743394,739.880664736713,337.11171449590915,222037157.0,16,847.4838799998076,0.47357217669808943,0.350917370294449,0.774594085926553,2026-27
OKC,8342.05841939167,3153.7964954148947,1941.1647043069136,716.6420587901674,422.4106275988192,219709586.0,12,2170.098694829198,0.4852533452944602,0.34059537301629683,0.7898088324371189,2026-27
ORL,10043.16188599137,4009.790049315465,2192.733374000755,678.2645520305193,451.9210769076444,225445667.0,15,101.53778848418844,0.4685206373365905,0.32905150360668983,0.7905399340892797,2026-27
PHI,12898.199231744502,4198.302997789887,2996.9983973270446,868.9749358370012,470.4132577306796,226042874.0,19,-180.92089379135123,0.4644884967487587,0.3350861655050249,0.7871379511802302,2026-27
PHX,10768.549661205261,4090.9170830074377,2278.196948888213,791.603929343227,408.41606314397876,201023307.0,18,196.4397871743604,0.466592105888258,0.3499125782144089,0.751292924255155,2026-27
POR,8244.727149178627,3523.4243236293783,2043.1458576376167,553.729426023529,430.9175225377911,164356090.0,16,-450.24695629407177,0.46457411897315737,0.3408853294448109,0.7552749413047267,2026-27
SAC,9933.70765813171,4298.921064125804,2111.5159000458234,591.5977053559387,426.52171353273485,202605653.0,15,-1596.2773408732692,0.49287542823985886,0.34635954972482513,0.7705126435277714,2026-27
SAS,11161.031657620038,4310.332015387039,2533.694391154265,734.0294287835943,532.0808858051018,179568566.0,16,1603.1323153544886,0.48628317949542743,0.3300867331170208,0.7887326353429875,2026-27
TOR,8241.455050623485,3102.5604989039507,2202.562275226666,642.0592677966057,365.2069470969065,195007397.0,14,217.72450147280625,0.49011148078953976,0.33678678418429336,0.7480552895966998,2026-27
UTA,10210.695368345894,4262.151940555185,2317.236749292584,764.6650497283082,469.3070073769654,164456956.0,18,-1758.2323399997792,0.46582376518524493,0.33098119150380206,0.7561156521622528,2026-27
WAS,11191.820918936657,4133.852150059994,2795.303005304726,738.9042363874448,527.3210427634006,175235114.0,17,-3077.0463328676005,0.46180278676422015,0.3203226686058468,0.7774511086825966,2026-27
