,TEAM_NAME,SEASON,W,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS
315,Miami Heat,2024-25,37,45,0.451,0.465,0.367,0.791,798,2760,3558,2166,1114.0,668,314,9069,46.0
316,Milwaukee Bucks,2024-25,48,34,0.585,0.486,0.387,0.75,674,2882,3556,2090,1097.0,601,384,9472,203.0
317,Minnesota Timberwolves,2024-25,49,33,0.598,0.468,0.377,0.789,908,2726,3634,2142,1186.0,654,406,9372,410.0
318,New Orleans Pelicans,2024-25,21,61,0.256,0.452,0.347,0.754,993,2583,3576,2119,1201.0,701,429,9006,-773.0
319,New York Knicks,2024-25,51,31,0.622,0.486,0.369,0.8,890,2607,3497,2254,1088.0,671,324,9494,336.0
320,Oklahoma City Thunder,2024-25,68,14,0.829,0.482,0.374,0.819,871,2801,3672,2202,961.0,847,465,9881,1055.0
321,Orlando Magic,2024-25,41,41,0.5,0.445,0.318,0.775,914,2517,3431,1887,1165.0,729,488,8645,-10.0
322,Philadelphia 76ers,2024-25,24,58,0.293,0.454,0.341,0.78,852,2411,3263,1901,1117.0,752,366,8988,-511.0
323,Phoenix Suns,2024-25,36,46,0.439,0.478,0.378,0.81,783,2701,3484,2277,1153.0,593,392,9317,-246.0
324,Portland Trail Blazers,2024-25,36,46,0.439,0.45,0.342,0.762,1095,2576,3671,1952,1309.0,678,433,9093,-244.0
325,Sacramento Kings,2024-25,40,42,0.488,0.478,0.357,0.806,901,2723,3624,2169,1092.0,620,357,9490,39.0
326,San Antonio Spurs,2024-25,34,48,0.415,0.465,0.357,0.774,896,2685,3581,2348,1138.0,674,455,9342,-226.0
327,Toronto Raptors,2024-25,30,52,0.366,0.458,0.348,0.748,1034,2666,3700,2340,1257.0,664,348,9091,-352.0
328,Utah Jazz,2024-25,17,65,0.207,0.454,0.35,0.774,983,2741,3724,2093,1412.0,555,360,9175,-766.0
329,Washington Wizards,2024-25,18,64,0.22,0.439,0.335,0.778,867,2716,3583,2058,1276.0,623,420,8856,-1020.0
330,Atlanta Hawks,2025-26,46,36,0.561,0.474,0.371,0.774,900,2670,3570,2471,1162.0,768,384,9714,198.0
331,Boston Celtics,2025-26,56,26,0.683,0.467,0.367,0.807,1025,2777,3802,2021,1014.0,585,410,9418,631.0
332,Brooklyn Nets,2025-26,20,62,0.244,0.443,0.34,0.78,847,2378,3225,2050,1292.0,653,350,8686,-819.0
333,Charlotte Hornets,2025-26,44,38,0.537,0.46,0.378,0.818,1048,2730,3778,2160,1264.0,577,370,9513,396.0
334,Chicago Bulls,2025-26,31,51,0.378,0.469,0.356,0.776,849,2845,3694,2335,1257.0,627,410,9537,-427.0
335,Cleveland Cavaliers,2025-26,52,30,0.634,0.482,0.36,0.776,961,2682,3643,2321,1147.0,697,409,9801,337.0
336,Dallas Mavericks,2025-26,26,56,0.317,0.466,0.344,0.755,863,2803,3666,2072,1193.0,619,423,9358,-452.0
337,Denver Nuggets,2025-26,54,28,0.659,0.496,0.396,0.808,801,2805,3606,2375,1057.0,560,325,10010,422.0
338,Detroit Pistons,2025-26,60,22,0.732,0.485,0.356,0.763,1073,2663,3736,2281,1241.0,856,523,9657,669.0
339,Golden State Warriors,2025-26,37,45,0.451,0.461,0.356,0.807,932,2540,3472,2369,1284.0,796,346,9398,-46.0
340,Houston Rockets,2025-26,52,30,0.634,0.479,0.364,0.763,1233,2713,3946,2083,1261.0,701,473,9449,428.0
341,Indiana Pacers,2025-26,19,63,0.232,0.458,0.356,0.776,806,2633,3439,2269,1190.0,605,374,9219,-655.0
342,LA Clippers,2025-26,42,40,0.512,0.484,0.368,0.823,784,2545,3329,1947,1176.0,738,400,9329,93.0
343,Los Angeles Lakers,2025-26,53,29,0.646,0.502,0.359,0.763,774,2587,3361,2122,1188.0,701,351,9540,144.0
344,Memphis Grizzlies,2025-26,25,57,0.305,0.456,0.353,0.793,916,2538,3454,2283,1236.0,723,393,9403,-493.0
345,Miami Heat,2025-26,43,39,0.524,0.468,0.361,0.792,970,2825,3795,2374,1120.0,709,349,9911,191.0
346,Milwaukee Bucks,2025-26,32,50,0.39,0.477,0.387,0.73,731,2610,3341,2116,1247.0,607,326,9072,-509.0
347,Minnesota Timberwolves,2025-26,49,33,0.598,0.481,0.37,0.752,907,2708,3615,2138,1214.0,717,476,9676,275.0
348,New Orleans Pelicans,2025-26,26,56,0.317,0.466,0.347,0.784,1002,2596,3598,2058,1163.0,726,424,9473,-369.0
349,New York Knicks,2025-26,53,29,0.646,0.478,0.373,0.792,1040,2700,3740,2250,1119.0,666,322,9549,519.0
350,Oklahoma City Thunder,2025-26,64,18,0.78,0.484,0.365,0.817,784,2834,3618,2113,1031.0,796,449,9760,914.0
351,Orlando Magic,2025-26,45,37,0.549,0.464,0.343,0.801,898,2659,3557,2177,1162.0,697,387,9491,52.0
352,Philadelphia 76ers,2025-26,45,37,0.549,0.462,0.349,0.809,967,2611,3578,2017,1117.0,750,464,9502,-15.0
353,Phoenix Suns,2025-26,45,37,0.549,0.455,0.361,0.781,1064,2471,3535,2021,1188.0,781,347,9232,120.0
354,Portland Trail Blazers,2025-26,42,40,0.512,0.453,0.343,0.765,1157,2614,3771,2062,1417.0,677,448,9469,-24.0
355,Sacramento Kings,2025-26,22,60,0.268,0.467,0.34,0.772,943,2523,3466,2095,1175.0,658,372,9102,-820.0
356,San Antonio Spurs,2025-26,62,20,0.756,0.483,0.359,0.787,935,2921,3856,2302,1103.0,617,447,9826,681.0
357,Toronto Raptors,2025-26,46,36,0.561,0.482,0.354,0.769,895,2557,3452,2417,1121.0,722,395,9400,232.0
358,Utah Jazz,2025-26,22,60,0.268,0.467,0.345,0.786,984,2609,3593,2429,1272.0,729,309,9642,-691.0
