PLAYER_NAME,2026_27_TEAM,PTS_PER36,REB_PER36,AST_PER36,STL_PER36,BLK_PER36,PLUS_MINUS_PER36,FG_PCT,FG3_PCT,FT_PCT,W_PCT,MIN,GP,PLAYER_ID,LAST_TEAM,2026_27_SALARY_CLEAN,PTS_PER_MILLION
Aaron Wiggins,ATL,16.616471012881085,5.450823000799997,2.721696615117528,1.4637376587518163,0.5793212129109677,21.733873752147577,0.47430000000000005,0.3913,0.7751,0.7777,1475.7476666666666,70.9,1630598.0,OKC,9224300.0,1.8013801603244783
Ryan Nembhard,ATL,12.206203880841759,4.089232030609456,9.71576933588412,0.7686526373326044,0.061492210986608356,-13.89723968297349,0.415,0.356,0.806,0.317,1170.88,60.0,1642948.0,DAL,,
Devin Carter,ATL,15.6036972836016,6.6098929217858124,4.644966636894296,1.8090742932283888,0.4257232902591352,-25.032365706295145,0.39749999999999996,0.27499999999999997,0.6672499999999999,0.3505,585.8964583333333,37.24999999999999,1642269.0,SAC,5158080.0,3.025097959628699
Paul George,BOS,20.359886571248587,5.9984883794617785,4.304738312506125,1.9158242249621358,0.5221905810159253,-3.60199894075474,0.4427,0.386,0.8355999999999999,0.4868,1467.9471666666668,45.6,202331.0,PHI,54126380.0,0.3761545954347693
Mike Conley,BOS,10.880997666439836,3.5237345873525863,6.286770352969502,1.4103075903366213,0.39612649900686325,9.251742854121604,0.3789,0.3799,0.9022000000000001,0.615,1461.0958333333333,63.5,201144.0,MIN,3876529.0,2.8068918525928312
Mitchell Robinson,BOS,9.76051901224545,15.016053564397925,1.3795136693659458,1.7215166493082463,2.00124774597507,16.397866987011025,0.6807142857142857,0.0,0.4082857142857143,0.6357142857142858,1058.389761904762,51.71428571428572,1629011.0,NYK,15800000.0,0.617754367863636
Julius Randle,BKN,22.61307716494826,7.900211660247139,5.323439624150378,0.9315398965443276,0.25477141085181165,5.546739682403391,0.4804,0.32289999999999996,0.799,0.6004,2298.825333333333,69.4,203944.0,MIN,33333334.0,0.6783923013806017
Naz Reid,CHA,18.962055421827493,8.184368062089346,2.801524848570896,1.1971850974828162,1.320505900384111,6.418035280719572,0.46199999999999997,0.3775,0.746,0.615,2056.4756666666663,78.7,1629675.0,MIN,23275862.0,0.8146660872034511
Grayson Allen,CHA,17.979312705662714,4.10383790885195,4.000957853941685,1.4219259605478243,0.4213200728739256,0.4701137469592347,0.4357,0.39449999999999996,0.8489,0.5258,1699.4106666666667,59.7,1628960.0,PHX,18125000.0,0.9919620803124256
Dorian Finney-Smith,CHA,8.987936455305487,5.345205702038942,1.977313440516871,1.0171245770747543,0.45211380013372626,12.131355277742163,0.3851,0.32789999999999997,0.788,0.5780000000000001,1242.6779999999999,51.0,1627827.0,HOU,13335000.0,0.6740109827750645
